"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Mapping: Tumor → CRTumorEncounter","Mapping: Mapping: Tumor crTopography → Topography Observation","Mapping: Mapping: Tumor crMorphology → Morphology Observation","Mapping: Mapping: Tumor crBehaviour → Behaviour Observation","Mapping: Mapping: Tumor crGrade → Grade Observation","Mapping: Mapping: Tumor crBasisDiagnosis → Basis of Diagnosis Observation","Mapping: Mapping: Tumor crSite → Site Observation","Mapping: Mapping: Tumor crIncidenceDate → Incidence Date Observation","Mapping: Mapping: Tumor crAge → Age at Incidence Observation","Mapping: Mapping: Tumor crAddress → Address Observation","Mapping: Mapping: Tumor crTumorNumber → Tumor Number Observation"
"Tumor","Tumor","","","",0,*,"","","","null {[]} {[]}
","Tumor","Tumor stage of the DHIS2 Cancer Registry tracker program. This repeatable stage is the central component capturing all key clinical and epidemiological information related to an individual cancer case.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Tumor.crIncidenceDate","Tumor.crIncidenceDate","","","",0,1,"","","","date {[]} {[]}
","CR - Incidence date","CR - Incidence date","","","","","","","","","",,,,,"https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#c6EnHSAMUat
",,,,"Tumor.crIncidenceDate",0,1,"","","Encounter.period.start","Observation.valueDateTime"
"Tumor.crAge","Tumor.crAge","","","",0,1,"","","","unsignedInt {[]} {[]}
","CR - Age","CR - Age","","","","","","","","","",,,,,"https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#tasm9QG8HaF
",,,,"Tumor.crAge",0,1,"","","Observation.valueInteger"
"Tumor.crAddress","Tumor.crAddress","","","",0,1,"","","","code {[]} {[]}
","CR - Address","CR - Address","","","","","","","","","",,"required","","https://dhis2.org/fhir/cancer-registry/ValueSet/CRAddressVS","https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#xcUBzN5QFXu
",,,,"Tumor.crAddress",0,1,"","","Observation.valueCodeableConcept"
"Tumor.crTumorNumber","Tumor.crTumorNumber","","","",1,1,"","","","code {[]} {[]}
","CR - Tumor number","CR - Tumor number","","","","","","","","","",,"required","","https://dhis2.org/fhir/cancer-registry/ValueSet/CRTumorNumberVS","https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#KgDQLAkC5ql
",,,,"Tumor.crTumorNumber",1,1,"","","Observation.valueCodeableConcept"
"Tumor.crSite","Tumor.crSite","","","",0,1,"","","","code {[]} {[]}
","CR - Site","CR - Site","","","","","","","","","",,"required","","https://dhis2.org/fhir/cancer-registry/ValueSet/CRSiteVS","https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#LCSApBii8CI
",,,,"Tumor.crSite",0,1,"","","Observation.valueCodeableConcept"
"Tumor.crTopography","Tumor.crTopography","","","",0,1,"","","","code {[]} {[]}
","CR - Topography","CR - Topography","","","","","","","","","",,"required","","https://dhis2.org/fhir/cancer-registry/ValueSet/CRTopographyVS","https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#zw6Vwqnhvmh
",,,,"Tumor.crTopography",0,1,"","","Observation.valueCodeableConcept"
"Tumor.crMorphology","Tumor.crMorphology","","","",0,1,"","","","code {[]} {[]}
","CR - Morphology","CR - Morphology","","","","","","","","","",,"required","","https://dhis2.org/fhir/cancer-registry/ValueSet/CRMorphology4VS","https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#UkyyY1xukJg
",,,,"Tumor.crMorphology",0,1,"","","Observation.valueCodeableConcept"
"Tumor.crBehaviour","Tumor.crBehaviour","","","",0,1,"","","","code {[]} {[]}
","CR - Behaviour","CR - Behaviour","","","","","","","","","",,"required","","https://dhis2.org/fhir/cancer-registry/ValueSet/CRBehaviourVS","https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#MMIuwJdjx8B
",,,,"Tumor.crBehaviour",0,1,"","","Observation.valueCodeableConcept"
"Tumor.crBasisDiagnosis","Tumor.crBasisDiagnosis","","","",0,1,"","","","code {[]} {[]}
","CR - Basis diagnosis","CR - Basis diagnosis","","","","","","","","","",,"required","","https://dhis2.org/fhir/cancer-registry/ValueSet/CRBasisDiagnosisVS","https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#uoyoNWrexbY
",,,,"Tumor.crBasisDiagnosis",0,1,"","","Observation.valueCodeableConcept"
"Tumor.crGrade","Tumor.crGrade","","","",0,1,"","","","code {[]} {[]}
","CR - Grade","CR - Grade","","","","","","","","","",,"required","","https://dhis2.org/fhir/cancer-registry/ValueSet/CRGradeVS","https://dhis2.org/fhir/cancer-registry/CodeSystem/dhis2-data-elements-cs#ZMD8dwB3zOZ
",,,,"Tumor.crGrade",0,1,"","","Observation.valueCodeableConcept"
