URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.3.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","StructureDefinition/cr-patient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/body-site,4.0.1,draft,"2.16.840.1.113883.4.642.3.141",SNOMEDCTBodyStructures,SNOMED CT Body Structures,"This value set includes all codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 442083009 (Anatomical or acquired body site (body structure)).","StructureDefinition/cr-grade-observation,StructureDefinition/cr-incidence-date-observation,StructureDefinition/cr-tumor-number-observation,StructureDefinition/cr-behaviour-observation,StructureDefinition/cr-source-tumor-number-observation,StructureDefinition/cr-vital-status-observation,StructureDefinition/cr-morphology-observation,StructureDefinition/cr-topography-observation,StructureDefinition/cr-site-observation,StructureDefinition/cr-date-of-death-observation,StructureDefinition/cr-basis-of-diagnosis-observation,StructureDefinition/cr-age-at-incidence-observation,StructureDefinition/cr-source-type-observation,StructureDefinition/cr-address-observation","SCT"
http://hl7.org/fhir/ValueSet/data-absent-reason,4.0.1,active,"2.16.840.1.113883.4.642.3.5",DataAbsentReason,DataAbsentReason,"Used to specify why the normally expected content of the data element is missing.","StructureDefinition/cr-grade-observation,StructureDefinition/cr-incidence-date-observation,StructureDefinition/cr-tumor-number-observation,StructureDefinition/cr-behaviour-observation,StructureDefinition/cr-source-tumor-number-observation,StructureDefinition/cr-vital-status-observation,StructureDefinition/cr-morphology-observation,StructureDefinition/cr-topography-observation,StructureDefinition/cr-site-observation,StructureDefinition/cr-date-of-death-observation,StructureDefinition/cr-basis-of-diagnosis-observation,StructureDefinition/cr-age-at-incidence-observation,StructureDefinition/cr-source-type-observation,StructureDefinition/cr-address-observation","THO"
http://hl7.org/fhir/ValueSet/diagnosis-role,4.0.1,draft,"2.16.840.1.113883.4.642.3.49",DiagnosisRole,DiagnosisRole,"This value set defines a set of codes that can be used to express the role of a diagnosis on the Encounter or EpisodeOfCare record.","StructureDefinition/cr-cancer-registration-episode,StructureDefinition/cr-source-encounter,StructureDefinition/cr-followup-encounter,StructureDefinition/cr-tumor-encounter","THO"
http://hl7.org/fhir/ValueSet/encounter-admit-source,4.0.1,draft,"2.16.840.1.113883.4.642.3.257",AdmitSource,Admit source,"This value set defines a set of codes that can be used to indicate from where the patient came in.","StructureDefinition/cr-source-encounter,StructureDefinition/cr-followup-encounter,StructureDefinition/cr-tumor-encounter","THO"
http://hl7.org/fhir/ValueSet/encounter-diet,4.0.1,draft,"2.16.840.1.113883.4.642.3.255",Diet,Diet,"This value set defines a set of codes that can be used to indicate dietary preferences or restrictions a patient may have.","StructureDefinition/cr-source-encounter,StructureDefinition/cr-followup-encounter,StructureDefinition/cr-tumor-encounter","THO"
http://hl7.org/fhir/ValueSet/encounter-discharge-disposition,4.0.1,draft,"2.16.840.1.113883.4.642.3.259",DischargeDisposition,Discharge disposition,"This value set defines a set of codes that can be used to where the patient left the hospital.","StructureDefinition/cr-source-encounter,StructureDefinition/cr-followup-encounter,StructureDefinition/cr-tumor-encounter","THO"
http://hl7.org/fhir/ValueSet/encounter-location-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.262",EncounterLocationStatus,EncounterLocationStatus,"The status of the location.","StructureDefinition/cr-source-encounter,StructureDefinition/cr-followup-encounter,StructureDefinition/cr-tumor-encounter","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/encounter-participant-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.250",ParticipantType,Participant type,"This value set defines a set of codes that can be used to indicate how an individual participates in an encounter.","StructureDefinition/cr-source-encounter,StructureDefinition/cr-followup-encounter,StructureDefinition/cr-tumor-encounter","THO (V3),THO"
http://hl7.org/fhir/ValueSet/encounter-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.261",EncounterReasonCodes,Encounter Reason Codes,"This examples value set defines the set of codes that can be used to indicate reasons for an encounter.","StructureDefinition/cr-source-encounter,StructureDefinition/cr-followup-encounter,StructureDefinition/cr-tumor-encounter","SCT"
http://hl7.org/fhir/ValueSet/encounter-special-arrangements,4.0.1,draft,"2.16.840.1.113883.4.642.3.253",SpecialArrangements,Special arrangements,"This value set defines a set of codes that can be used to indicate the kinds of special arrangements in place for a patients visit.","StructureDefinition/cr-source-encounter,StructureDefinition/cr-followup-encounter,StructureDefinition/cr-tumor-encounter","THO"
http://hl7.org/fhir/ValueSet/encounter-special-courtesy,4.0.1,draft,"2.16.840.1.113883.4.642.3.252",SpecialCourtesy,Special courtesy,"This value set defines a set of codes that can be used to indicate special courtesies provided to the patient.","StructureDefinition/cr-source-encounter,StructureDefinition/cr-followup-encounter,StructureDefinition/cr-tumor-encounter","THO (V3)"
http://hl7.org/fhir/ValueSet/encounter-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.246",EncounterStatus,EncounterStatus,"Current state of the encounter.","StructureDefinition/cr-source-encounter,StructureDefinition/cr-followup-encounter,StructureDefinition/cr-tumor-encounter","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/encounter-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.248",EncounterType,Encounter type,"This example value set defines a set of codes that can be used to indicate the type of encounter: a specific code indicating type of service provided.","StructureDefinition/cr-source-encounter,StructureDefinition/cr-followup-encounter,StructureDefinition/cr-tumor-encounter","THO"
http://hl7.org/fhir/ValueSet/episode-of-care-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.664",EpisodeOfCareStatus,EpisodeOfCareStatus,"The status of the episode of care.","StructureDefinition/cr-cancer-registration-episode","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/episodeofcare-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.666",EpisodeOfCareType,Episode of care type,"This example value set defines a set of codes that can be used to express the usage type of an EpisodeOfCare record.","StructureDefinition/cr-cancer-registration-episode","THO"
http://hl7.org/fhir/ValueSet/identifier-type,4.0.1,active,"2.16.840.1.113883.4.642.3.45",Identifier Type Codes,IdentifierType,"A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","StructureDefinition/cr-patient","THO (V2)"
http://hl7.org/fhir/ValueSet/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.3.57",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","StructureDefinition/cr-patient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/cr-grade-observation,StructureDefinition/cr-incidence-date-observation,StructureDefinition/cr-tumor-number-observation,StructureDefinition/cr-behaviour-observation,StructureDefinition/cr-source-tumor-number-observation,StructureDefinition/cr-vital-status-observation,StructureDefinition/cr-source-encounter,StructureDefinition/cr-morphology-observation,StructureDefinition/cr-followup-encounter,StructureDefinition/cr-tumor-encounter,StructureDefinition/cr-topography-observation,StructureDefinition/cr-site-observation,StructureDefinition/cr-patient,StructureDefinition/cr-date-of-death-observation,StructureDefinition/cr-basis-of-diagnosis-observation,StructureDefinition/cr-cancer-registration-episode,StructureDefinition/cr-age-at-incidence-observation,StructureDefinition/cr-source-type-observation,StructureDefinition/cr-address-observation","hl7.terminology"
http://hl7.org/fhir/ValueSet/link-type,4.0.1,active,"2.16.840.1.113883.4.642.3.423",LinkType,LinkType,"The type of link between this patient resource and another patient resource.","StructureDefinition/cr-patient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/location-physical-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.328",LocationType,Location type,"This example value set defines a set of codes that can be used to indicate the physical form of the Location.","StructureDefinition/cr-source-encounter,StructureDefinition/cr-followup-encounter,StructureDefinition/cr-tumor-encounter","THO"
http://hl7.org/fhir/ValueSet/marital-status,4.0.1,active,"2.16.840.1.113883.4.642.3.29",Marital Status Codes,MaritalStatus,"This value set defines the set of codes that can be used to indicate the marital status of a person.","StructureDefinition/cr-patient","THO (V3)"
